Date,Name,Year,Letterboxd URI,Rating
2021-01-12,Spectre,2015,https://boxd.it/6bXY,4
2021-01-12,Story of Kale: When Someone's in Love,2020,https://boxd.it/rigu,3
2021-01-12,The Aeronauts,2019,https://boxd.it/iEt8,3.5
2021-01-12,The Current War,2017,https://boxd.it/eNvO,3
2021-01-12,The Personal History of David Copperfield,2019,https://boxd.it/iTAS,3
2021-01-12,The Platform,2019,https://boxd.it/mUm6,4
2021-01-12,The SpongeBob Movie: Sponge on the Run,2020,https://boxd.it/e1Ac,3
2021-01-12,Roald Dahl's The Witches,2020,https://boxd.it/jk0C,3
2021-01-12,Titanic,1997,https://boxd.it/2a2k,4.5
2021-01-12,Iron Man 3,2013,https://boxd.it/2cBQ,3
2021-01-12,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2021-01-12,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2021-01-12,Iron Man,2008,https://boxd.it/28dA,3.5
2021-01-12,Captain America: The First Avenger,2011,https://boxd.it/28b0,3.5
2021-01-12,Thor: The Dark World,2013,https://boxd.it/2DqA,3
2021-01-12,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,3.5
2021-01-12,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3.5
2021-01-12,Ant-Man,2015,https://boxd.it/3vmW,3.5
2021-01-12,Thor,2011,https://boxd.it/1WQU,3
2021-01-12,Captain America: Civil War,2016,https://boxd.it/89Ja,4
2021-01-12,Iron Man 2,2010,https://boxd.it/1WZM,3
2021-01-12,Shazam!,2019,https://boxd.it/8WBu,4
2021-01-12,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,3
2021-01-12,Man of Steel,2013,https://boxd.it/FRk,3.5
2021-01-12,Toy Story 3,2010,https://boxd.it/1WRe,4
2021-01-12,The Incredibles,2004,https://boxd.it/1XLm,3
2021-01-12,Toy Story,1995,https://boxd.it/29qA,4.5
2021-01-12,Inside Out,2015,https://boxd.it/4KHC,4.5
2021-01-12,Incredibles 2,2018,https://boxd.it/7IPg,3
2021-01-12,"Monsters, Inc.",2001,https://boxd.it/2a46,3.5
2021-01-12,Toy Story 2,1999,https://boxd.it/29qq,3
2021-01-12,WALL·E,2008,https://boxd.it/1VEo,4.5
2021-01-12,Cars,2006,https://boxd.it/29ho,3.5
2021-01-12,Monsters University,2013,https://boxd.it/bQm,3
2021-01-12,Cars 3,2017,https://boxd.it/7IPq,3
